Module,Fan In,Fan Out,LOC,IFC
upload-primary-one-math-homework,16,1,161,41216
teachers,10,1,95,9500
upload_homework,1,1,132,132
admin-dashboard,1,1,115,115
login,1,1,110,110
sign-up,1,1,99,99
download_homework,1,1,69,69
subjectresources-primary-one-sci,0,1,38,0
subjectresources-primary-three-sci,0,1,38,0
debugger,0,0,301,0
primary-four,0,1,0,0
upload-primary-four-eng,0,1,98,0
sub-res-pri-two-sci-parent,0,1,44,0
primary-two,0,1,0,0
sub-res-pri-one-eng-parent,0,1,44,0
subjectresources-primary-four-sst,0,1,38,0
upload-primary-four-sst,0,1,98,0
upload-primary-three-eng,0,1,98,0
primary-one,0,1,69,0
cyclomaticComplexity,1,0,13,0
download-primary-three,0,1,33,0
sub-res-pri-one-math-parent,0,1,44,0
sub-res-pri-two-math-parent,0,1,44,0
subjectresources-primary-one-sst,0,1,38,0
subjectresources-primary-four-eng,0,1,38,0
primary-three,0,1,0,0
sub-res-pri-three-eng-parent,0,1,44,0
index,0,5,12,0
upload-primary-one-sci-homework,0,1,0,0
subjectresources-primary-two-math,0,1,38,0
style,0,0,131,0
upload-primary-three-sst,0,1,98,0
subjectresources-primary-two-sci,0,1,38,0
sub-res-pri-four-sci-parent,0,1,44,0
upload-primary-four-math,0,1,98,0
sub-res-pri-one-sst-parent,0,1,44,0
sub-res-pri-two-eng-parent,0,1,44,0
sub-res-pri-four-sst-parent,0,1,44,0
subjectresources-primary-one-math,0,1,44,0
subjectresources-primary-three-sst,0,1,38,0
subjectresources-primary-four-math,0,1,38,0
parents,0,1,99,0
informationFlow,1,0,12,0
download-primary-four,0,1,33,0
upload-primary-three-sci,0,1,98,0
sub-res-pri-one-sci-parent,0,1,44,0
upload-primary-four-sci,0,1,98,0
upload-primary-two-sci-homework,0,1,98,0
sub-res-pri-two-sst-parent,0,1,44,0
sub-res-pri-four-eng-parent,0,1,44,0
subjectresources-primary-three-eng,0,1,38,0
subjectresources-primary-two-eng,0,1,38,0
subjectresources,32,0,100,0
sub-res-pri-four-math-parent,0,1,44,0
sub-res-pri-three-sci-parent,0,1,44,0
subjectresources-primary-three-math,0,1,38,0
upload-primary-one-sst-homework,0,1,0,0
emscripten_fetch_worker,0,0,92,0
upload-primary-two-eng-homework,0,1,98,0
download-primary-one,0,1,33,0
cohesion,1,0,25,0
upload-primary-one-eng-homework,0,1,133,0
download-primary-two,0,1,33,0
coupling,1,0,12,0
upload-primary-two-sst-homework,0,1,98,0
upload-primary-two-math-homework,0,1,98,0
subjectresources-primary-one-eng,0,1,38,0
subjectresources-primary-four-sci,0,1,38,0
upload-primary-three-math,0,1,98,0
subjectresources-primary-two-sst,0,1,38,0
sub-res-pri-three-math-parent,0,1,44,0
nestingDepth,1,0,14,0
java,0,0,18,0
sub-res-pri-three-sst-parent,0,1,44,0
